Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,0.000000000,49.980000000,0.036000000,47.800000000,48.100000000,48.500000000,49.200000000,49.980000000,50.700000000,51.300000000,51.600000000,51.800000000
1,0.5,0.000000000,54.700000000,0.035000000,52.400000000,52.800000000,53.300000000,54.000000000,54.700000000,55.400000000,56.000000000,56.300000000,56.500000000
1,1.5,0.000000000,58.400000000,0.034000000,56.000000000,56.400000000,56.900000000,57.600000000,58.400000000,59.100000000,59.700000000,60.000000000,60.200000000
1,2.5,0.000000000,61.400000000,0.033000000,58.900000000,59.300000000,59.800000000,60.500000000,61.400000000,62.100000000,62.700000000,63.000000000,63.200000000
1,3.5,0.000000000,64.000000000,0.032000000,61.400000000,61.800000000,62.300000000,63.000000000,64.000000000,64.700000000,65.300000000,65.600000000,65.800000000
1,4.5,0.000000000,66.200000000,0.031000000,63.600000000,64.000000000,64.500000000,65.200000000,66.200000000,66.900000000,67.500000000,67.800000000,68.000000000
1,5.5,0.000000000,68.200000000,0.030000000,65.500000000,65.900000000,66.400000000,67.100000000,68.200000000,68.900000000,69.500000000,69.800000000,70.000000000
1,6.5,0.000000000,70.000000000,0.029000000,67.200000000,67.600000000,68.100000000,68.800000000,70.000000000,70.700000000,71.300000000,71.600000000,71.800000000
1,7.5,0.000000000,71.600000000,0.028000000,68.800000000,69.200000000,69.700000000,70.400000000,71.600000000,72.300000000,72.900000000,73.200000000,73.400000000
1,8.5,0.000000000,73.100000000,0.027000000,70.300000000,70.700000000,71.200000000,71.900000000,73.100000000,73.800000000,74.400000000,74.700000000,74.900000000
1,9.5,0.000000000,74.500000000,0.026000000,71.700000000,72.100000000,72.600000000,73.300000000,74.500000000,75.200000000,75.800000000,76.100000000,76.300000000
1,10.5,0.000000000,75.900000000,0.025000000,73.000000000,73.400000000,73.900000000,74.600000000,75.900000000,76.600000000,77.200000000,77.500000000,77.700000000
1,11.5,0.000000000,77.200000000,0.024000000,74.300000000,74.700000000,75.200000000,75.900000000,77.200000000,77.900000000,78.500000000,78.800000000,79.000000000
